year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2030,110,Intra,7769565.891,2554634.63,1095730.04,5743.90243902439,1500.0,,,
2030,110,Inter,3624717.218,638228.59,273303.95,2819.512195121951,800.0,,,
2030,110,Berth,831500.0,352660.0,222046.2,,,,,
2030,110,Intra,2474541.763,771841.42,0.0,988.6276274396919,1200.0,163.88056822859662,,
2030,110,Inter,1237270.881,192960.36,0.0,494.31381653007446,600.0,81.94028171389469,,
2030,110,Berth,582050.0,246862.0,95162.66,,,,,
2030,110,Intra,1372521.133,369011.35,122442.21,,1000.0,,54.054054054054056,
2030,110,Inter,876457.617,122911.62,4222.21,,500.0,,229.72972972972974,
2030,110,Berth,498900.0,211596.0,53925.5,,,,,
2030,110,Intra,979380.422,211596.0,0.0,,600.0,,,211.05527638190955
2030,110,Inter,489690.211,52899.0,0.0,,300.0,,,105.52763819095478
2030,110,Berth,291025.0,123431.0,22204.62,,,,,
2030,130,Intra,8234044.915,3019113.66,1095730.04,5743.90243902439,1500.0,,,
2030,130,Inter,3856800.34,754270.15,273303.95,2819.512195121951,800.0,,,
2030,130,Berth,831500.0,416780.0,222046.2,,,,,
2030,130,Intra,2614876.566,912176.22,0.0,988.6276300576836,1200.0,163.88056599239516,,
2030,130,Inter,1307438.283,228044.06,0.0,494.3138135785079,600.0,81.94028423502456,,
2030,130,Berth,582050.0,291746.0,95162.66,,,,,
2030,130,Intra,1439614.106,436104.32,122442.21,,1000.0,,54.054054054054056,
2030,130,Inter,921152.753,145259.19,4222.21,,500.0,,229.72972972972974,
2030,130,Berth,498900.0,250068.0,53925.5,,,,,
2030,130,Intra,1017852.422,250068.0,0.0,,600.0,,,211.05527638190955
2030,130,Inter,508926.211,62517.0,0.0,,300.0,,,105.52763819095478
2030,130,Berth,291025.0,145873.0,22204.62,,,,,
2030,150,Intra,8698523.94,3483592.68,1095730.04,5743.90243902439,1500.0,,,
2030,150,Inter,4088883.462,870311.71,273303.95,2819.512195121951,800.0,,,
2030,150,Berth,831500.0,480900.0,222046.2,,,,,
2030,150,Intra,2755211.375,1052511.01,0.0,988.627586939628,1200.0,163.88060282240102,,
2030,150,Inter,1377605.685,263127.76,0.0,494.3138116380883,600.0,81.94028589246614,,
2030,150,Berth,582050.0,336630.0,95162.66,,,,,
2030,150,Intra,1506707.079,503197.3,122442.21,,1000.0,,54.054054054054056,
2030,150,Inter,965847.888,167606.76,4222.21,,500.0,,229.72972972972974,
2030,150,Berth,498900.0,288540.0,53925.5,,,,,
2030,150,Intra,1056324.422,288540.0,0.0,,600.0,,,211.05527638190955
2030,150,Inter,528162.211,72135.0,0.0,,300.0,,,105.52763819095478
2030,150,Berth,291025.0,168315.0,22204.62,,,,,
2030,170,Intra,9163002.964,3948071.71,1095730.04,5743.90243902439,1500.0,,,
2030,170,Inter,4320966.584,986353.27,273303.95,2819.512195121951,800.0,,,
2030,170,Berth,831500.0,545020.0,222046.2,,,,,
2030,170,Intra,2895546.175,1192845.81,0.0,988.6275994560958,1200.0,163.8805921312511,,
2030,170,Inter,1447773.089,298211.45,0.0,494.31377554863576,600.0,81.94031671887356,,
2030,170,Berth,582050.0,381514.0,95162.66,,,,,
2030,170,Intra,1573800.052,570290.27,122442.21,,1000.0,,54.054054054054056,
2030,170,Inter,1010543.023,189954.32,4222.21,,500.0,,229.72972972972974,
2030,170,Berth,498900.0,327012.0,53925.5,,,,,
2030,170,Intra,1094796.422,327012.0,0.0,,600.0,,,211.05527638190955
2030,170,Inter,547398.211,81753.0,0.0,,300.0,,,105.52763819095478
2030,170,Berth,291025.0,190757.0,22204.62,,,,,
2030,190,Intra,9627481.989,4412550.73,1095730.04,5743.90243902439,1500.0,,,
2030,190,Inter,4553049.705,1102394.83,273303.95,2819.512195121951,800.0,,,
